X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
342|L	2778500	487400000	4760600	845360	753790000	3480100
343|L	NA	NA	NA	NA	10201000	1140500
344|L	74312	92261000	59930	218420	67422000	NA
345|L	104370	5848400	NA	68770	6585600	NA
346|L	102750	176800000	NA	117170	78126000	NA
348|L	180200	NA	NA	NA	117040	NA
349|L	NA	540230	NA	NA	835560	NA
351|L	1582300	36557000	NA	1131600	25933000	NA
352|L	4721100	129660000	NA	4241100	130090000	NA
353|L	27271000	2195600000	26660000	21714000	1449200000	42402000
354|L	NA	116260000	NA	783850	53085000	NA
355|L	NA	28137000	NA	NA	NA	NA
356|L	NA	28137000	NA	NA	NA	NA
357|L	NA	24133000	280450	NA	51652000	2424800
358|L	8843700	1161800000	81854	2967700	549280000	4270400
359|L	NA	NA	399760	NA	NA	NA
360|L	555980	4908900	842790	524230	4276800	15055000
361|L	NA	NA	NA	1661200	NA	NA
362|L	NA	26923000	NA	NA	26783000	NA
363|L	NA	2167100	NA	NA	2626800	NA
364|L	NA	NA	7046900	NA	NA	NA
365|L	NA	NA	7046900	NA	NA	NA
366|L	7827300	185510000	18531000	17842000	272500000	9786400
367|L	NA	NA	NA	NA	NA	8014000
368|L	NA	NA	NA	571910	NA	2099200
369|L	1324300	14926000	1486800	1017100	17763000	891560
371|L	NA	NA	NA	1080300	NA	NA
372|L	65525000	3761200000	15771000	61323000	4082100000	260180000
373|L	182970000	8655700000	151850000	159790000	7071900000	863810000
374|L	10503000	732710000	12164000	4767100	1113200000	50234000
375|L	NA	NA	NA	1315900	NA	NA
376|L	6638400	131520000	8141400	6359000	66794000	NA
377|L	6947300	304020000	9707200	75096000	124410000	4206700
378|L	1010100	20908000	2758500	2228700	33649000	NA
379|L	16174000	150160000	18165000	12771000	62412000	6055500
380|L	NA	14823000	NA	NA	32219000	NA
381|L	119290	2573200	177570	192600	7127500	842860
382|L	NA	35255000	825600	NA	25474000	NA
383|L	NA	NA	105460000	NA	NA	NA
384|L	NA	NA	105460000	NA	NA	NA
385|L	NA	NA	105460000	NA	NA	NA
395|L	NA	11596000	NA	NA	NA	NA
396|L	987130	NA	NA	NA	51852000	NA
397|L	NA	7743400	NA	NA	767800	NA
398|L	315020	7141400	1647800	127250	13408000	NA
399|L	842990	4886900	NA	1168300	4186900	NA
400|L	5104100	102520000	17004000	4912700	62730000	975450
402|L	2799200	NA	NA	1641300	8682100	NA
403|L	3133600	28946000	NA	2855900	46453000	1076800
404|L	1180700	19020000	NA	NA	73670000	7676600
405|L	NA	494880000	2845100	NA	708560000	NA
406|L	NA	494880000	2845100	NA	708560000	NA
407|L	NA	494880000	2845100	NA	708560000	NA
408|L	NA	453350000	1062900	NA	620950000	NA
409|L	NA	NA	NA	NA	971230	NA
410|L	NA	NA	NA	NA	27744000	NA
411|L	42639000	2651500000	32101000	63335000	3558300000	25443000
412|L	NA	34638000	2200500	1485600	8933000	NA
413|L	2023400	178770000	7582800	5285200	136650000	NA
414|L	2122700	126740000	4211300	1561300	151520000	3114500
415|L	NA	76002000	NA	NA	24178000	NA
416|L	NA	83652000	NA	2855300	38066000	NA
417|L	1555400	633730	NA	1715600	NA	NA
418|L	NA	NA	NA	NA	5418800	NA
419|L	391690	NA	NA	NA	NA	NA
420|L	NA	69348000	NA	NA	429960000	833590
421|L	NA	NA	NA	NA	5418800	NA
422|L	315030	NA	NA	405970	NA	NA
423|L	1128300	NA	NA	NA	NA	NA
424|L	843660000	6.3598e+10	1086500000	1047600000	8.0998e+10	372090000
425|L	NA	4461600	NA	NA	2932100	NA
427|L	NA	4245900	NA	NA	48724000	NA
428|L	NA	1497100	NA	NA	NA	NA
429|L	96178	NA	NA	NA	NA	NA
430|L	96178	NA	NA	NA	NA	NA
431|L	119910	3866900	NA	NA	2756500	NA
433|L	5264100	741530000	1832500	5269200	871910000	998660
434|L	NA	NA	NA	NA	2279700	NA
435|L	NA	NA	NA	NA	997200	NA
436|L	NA	NA	NA	NA	1282500	NA
437|L	1847200	63489000	NA	1760200	99177000	NA
438|L	NA	756460	NA	NA	NA	NA
439|L	NA	159470000	NA	220550	339930000	NA
440|L	NA	NA	2215400	611150	NA	1426700
441|L	NA	NA	741950	611150	NA	NA
442|L	NA	NA	1173100	NA	NA	629520
443|L	NA	NA	NA	NA	1944800	4224800
444|L	44208000	711960000	12053000	11402000	799130000	89593000
446|L	14934000	136280000	2860600	49509	638110000	24639000
447|L	150170	59772000	2288800	NA	168150000	5269700
448|L	NA	35205000	3155400	1137900	66434000	2559400
449|L	10565000	37629000	1405700	5260300	49090000	1412000
450|L	NA	NA	413780	NA	NA	NA
451|L	9324300	26814000	NA	6768500	13248000	NA
452|L	NA	3227200	NA	NA	12787000	NA
453|L	NA	64942000	NA	NA	109120000	2629500
454|L	NA	NA	104210000	NA	NA	NA
455|L	10451000	108950000	6809300	6963200	229690000	5457000
456|L	NA	1485500	NA	NA	22807000	NA
457|L	NA	10833000	NA	NA	10768000	NA
458|L	NA	14570000	NA	NA	60522000	NA
459|L	NA	5159800	NA	NA	NA	NA
460|L	NA	NA	321160000	NA	4828400	80206000
461|L	NA	NA	321160000	NA	4828400	80206000
462|L	1460500	66601000	3099400	2716100	82438000	5853500
463|L	1173600	4527000	294680	153290	NA	2021700
464|L	21640000	44672000	171870	NA	362960000	1693900
465|L	1644300	47935000	NA	NA	28935000	NA
466|L	NA	6234300	NA	NA	28828000	NA
467|L	2498200	77382000	NA	3141900	77177000	NA
468|L	NA	NA	NA	NA	63740000	NA
469|L	NA	NA	63769	3443500	10781000	NA
470|L	NA	NA	63769	3443500	10781000	NA
471|L	857890	NA	NA	NA	495360000	NA
472|L	7539600	NA	NA	2032200	NA	NA
473|L	7539600	NA	NA	2032200	NA	NA
474|L	1102700	NA	NA	303770	NA	NA
475|L	1323800	52332000	133070	1640500	25523000	NA
476|L	NA	2277200	NA	NA	4961000	NA
477|L	1474300	4027400	236460	NA	9350600	NA
478|L	459760	28616000	1375300	1244900	27201000	750830
480|L	NA	23211000	NA	NA	NA	NA
481|L	NA	NA	NA	NA	3829800	NA
486|L	1226800	33287000	NA	1403700	120970000	NA
487|L	1226800	33287000	NA	1403700	120970000	NA
488|L	1226800	33287000	NA	1403700	120970000	NA
489|L	1226800	33287000	NA	1403700	120970000	NA
492|L	NA	431400000	4136900	NA	30547000	2888200
493|L	NA	47460000	NA	NA	283850000	NA
495|L	2038700	58665000	3494900	3754300	92822000	762260
496|L	NA	42726000	NA	NA	28908000	NA
497|L	NA	3977800	NA	NA	NA	NA
498|L	NA	NA	402190	NA	NA	NA
500|L	NA	NA	NA	NA	NA	762240
501|L	22791000	747700000	8830900	12302000	752270000	7056700
502|L	19296000	684230000	5858900	12302000	529670000	7056700
